[2016-06-05 11:57:33.004] [WARN] access - 304 GET /home/css/main.css 6ms
[2016-06-05 11:57:33.012] [WARN] access - 304 GET /home/js/base.js 12ms
[2016-06-05 11:57:33.695] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:57:33.815] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:57:36.137] [WARN] access - 304 GET /news/1 1166ms
[2016-06-05 11:57:36.355] [WARN] access - 304 GET /home/css/main.css 8ms
[2016-06-05 11:57:36.357] [WARN] access - 304 GET /home/js/base.js 3ms
[2016-06-05 11:57:37.095] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:57:37.176] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:58:14.505] [INFO] access - 200 GET /news/1 739ms
[2016-06-05 11:58:14.782] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:58:14.829] [WARN] access - 304 GET /home/js/base.js 29ms
[2016-06-05 11:58:15.563] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:58:15.619] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:58:18.395] [INFO] access - 200 GET /news/2 733ms
[2016-06-05 11:58:18.637] [WARN] access - 304 GET /home/css/main.css 9ms
[2016-06-05 11:58:18.642] [WARN] access - 304 GET /home/js/base.js 0ms
[2016-06-05 11:58:19.241] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:58:19.349] [WARN] access - 304 GET /home/js/base.js 2ms
